jobid,exename,numnodes,numcpus,numtasks,executiontime,start,end,power,memory,appname,taskspercpu,taskspernode,user
22,vasp_std,1,272,1,3780,2020-12-01T07:22:31,2020-12-01T08:25:31,251.93,13520500,vasp,0.003676471,1,user_1
23,vasp_gam,2,544,2,732,2020-12-02T15:16:46,2020-12-02T15:28:58,225.862,14864100,vasp,0.003676471,1,user_1
24,vasp_std,2,544,2,843,2020-12-01T16:25:23,2020-12-01T16:39:26,241.736,15847100,vasp,0.003676471,1,user_1
25,chroma,8,2176,8,39106,2020-11-17T15:47:11,2020-11-18T02:38:57,271.21,30152600,chroma,0.003676471,1,user_1
26,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,5,1360,5,5153,2020-11-05T05:24:06,2020-11-05T06:49:59,271.544,28608300,su3,0.003676471,1,user_1
27,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,5,1360,5,5713,2020-11-04T10:07:38,2020-11-04T11:42:51,275.331,26305200,su3,0.003676471,1,user_1
28,su3_hqp_coulomb_dbl_m780_icc_20190807,4,1088,4,4398,2020-11-06T12:16:28,2020-11-06T13:29:46,275.415,35023700,su3,0.003676471,1,user_1
29,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,5,1360,5,3314,2020-11-06T17:12:55,2020-11-06T18:08:09,274.065,26035000,su3,0.003676471,1,user_1
30,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,4,1088,4,4895,2020-11-12T05:54:18,2020-11-12T07:15:53,278.986,34934900,su3,0.003676471,1,user_1
31,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,1,272,1,645,2020-11-25T00:59:22,2020-11-25T01:10:07,234.347,11198800,su3,0.003676471,1,user_1
32,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,1,272,1,601,2020-11-29T03:05:06,2020-11-29T03:15:07,238.649,13091500,su3,0.003676471,1,user_1
33,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,1,272,1,1138,2020-11-24T14:59:37,2020-11-24T15:18:35,237.574,14870700,su3,0.003676471,1,user_1
34,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,2,544,2,1240,2020-11-25T11:43:45,2020-11-25T12:04:25,267.406,18786900,su3,0.003676471,1,user_1
35,su3_rhmc_hisq.knl_dbl_fixnode_qopqdp_20190610,1,272,1,6619,2020-12-01T04:08:45,2020-12-01T05:59:04,255.132,13921300,su3,0.003676471,1,user_1
36,pw.x,1,272,1,5680,2020-11-03T04:56:15,2020-11-03T06:30:55,278.009,21475900,pw,0.003676471,1,user_1
37,pw2bgw.x,1,272,1,6159,2020-11-05T15:28:18,2020-11-05T17:10:57,281.821,23147700,bgw,0.003676471,1,user_1
38,pw2bgw.x,5,1360,5,2666,2020-11-07T11:23:53,2020-11-07T12:08:19,257.86,26872700,bgw,0.003676471,1,user_1
39,pw.x,1,272,1,2612,2020-11-05T04:44:20,2020-11-05T05:27:52,292.671,17356700,pw,0.003676471,1,user_1
40,pw.x,5,1360,5,2522,2020-11-03T15:35:13,2020-11-03T16:17:15,263.074,25419000,pw,0.003676471,1,user_1
41,pw.x,5,1360,5,2958,2020-11-04T04:35:20,2020-11-04T05:24:38,262.869,27255700,pw,0.003676471,1,user_1
42,pw.x,5,1360,5,5094,2020-11-03T15:35:14,2020-11-03T17:00:08,274.932,23052000,pw,0.003676471,1,user_1
43,pw.x,5,1360,5,2403,2020-11-06T07:52:34,2020-11-06T08:32:37,268.188,22761600,pw,0.003676471,1,user_1
44,pw.x,5,1360,5,2968,2020-11-03T18:20:31,2020-11-03T19:09:59,267.042,23669900,pw,0.003676471,1,user_1
45,pw.x,4,1088,4,4164,2020-11-08T20:11:47,2020-11-08T21:21:11,277.425,36155400,pw,0.003676471,1,user_1
46,epw.x,1,272,1,4632,2020-11-04T04:15:25,2020-11-04T05:32:37,280.196,17766700,pw,0.003676471,1,user_1
47,epw.x,5,1360,5,2484,2020-11-06T07:46:32,2020-11-06T08:27:56,271.486,26994700,pw,0.003676471,1,user_1
48,pw.x,5,1360,5,3334,2020-11-03T20:55:26,2020-11-03T21:51:00,249.165,24743200,pw,0.003676471,1,user_1
49,pw.x,5,1360,5,2176,2020-11-06T17:12:54,2020-11-06T17:49:10,267.489,24473500,pw,0.003676471,1,user_1
50,pw2bgw.x,2,544,2,3207,2020-11-03T21:06:22,2020-11-03T21:59:49,247.678,17676900,bgw,0.003676471,1,user_1
51,pw.x,2,544,2,4187,2020-11-03T21:06:22,2020-11-03T22:16:09,236.31,14416900,pw,0.003676471,1,user_1
52,pw2bgw.x,2,544,2,4167,2020-11-03T21:06:22,2020-11-03T22:15:49,234.967,15505000,bgw,0.003676471,1,user_1
53,pw.x,2,544,2,4140,2020-11-04T00:55:44,2020-11-04T02:04:44,258.961,22472600,pw,0.003676471,1,user_1
54,pw2bgw.x,2,544,2,2545,2020-11-03T21:06:22,2020-11-03T21:48:47,237.774,19355100,bgw,0.003676471,1,user_1
55,epw.x,2,544,2,2849,2020-11-03T21:06:22,2020-11-03T21:53:51,236.542,19434200,pw,0.003676471,1,user_1
56,pw.x,2,544,2,3209,2020-11-03T21:06:22,2020-11-03T21:59:51,238.961,17666200,pw,0.003676471,1,user_1
57,pw2bgw.x,2,544,2,3656,2020-11-03T21:06:22,2020-11-03T22:07:18,240.881,14142300,bgw,0.003676471,1,user_1
58,pw2bgw.x,2,544,2,5472,2020-11-04T00:41:44,2020-11-04T02:12:56,273.849,20182400,bgw,0.003676471,1,user_1
59,pw.x,2,544,2,2504,2020-11-03T21:08:33,2020-11-03T21:50:17,233.986,14569500,pw,0.003676471,1,user_1
60,pw2bgw.x,2,544,2,4989,2020-11-03T21:08:33,2020-11-03T22:31:42,234.239,19511200,bgw,0.003676471,1,user_1
61,pw2bgw.x,2,544,2,5298,2020-11-04T07:35:34,2020-11-04T09:03:52,269.465,22572000,bgw,0.003676471,1,user_1
62,pw2bgw.x,2,544,2,3525,2020-11-03T21:21:44,2020-11-03T22:20:29,239.237,19692300,bgw,0.003676471,1,user_1
63,epw.x,2,544,2,3881,2020-11-04T07:40:27,2020-11-04T08:45:08,269.784,21190400,pw,0.003676471,1,user_1
64,pw.x,1,272,1,5157,2020-11-04T03:08:04,2020-11-04T04:34:01,210.857,7819880,pw,0.003676471,1,user_1
65,pw2bgw.x,1,272,1,54818,2020-11-04T03:09:58,2020-11-04T18:23:36,187.102,9578650,bgw,0.003676471,1,user_1
66,pw.x,5,1360,5,2018,2020-11-05T23:09:36,2020-11-05T23:43:14,271.455,25989600,pw,0.003676471,1,user_1
67,pw.x,8,2176,8,4069,2020-11-10T12:19:58,2020-11-10T13:27:47,263.574,31532900,pw,0.003676471,1,user_1
68,pw.x,2,544,2,941,2020-11-10T23:54:05,2020-11-11T00:09:46,240.917,21999300,pw,0.003676471,1,user_1
69,pw.x,2,544,2,6000,2020-11-10T22:10:05,2020-11-10T23:50:05,267.123,21776200,pw,0.003676471,1,user_1
70,pw.x,2,544,2,2365,2020-11-10T12:19:59,2020-11-10T12:59:24,235.182,14346100,pw,0.003676471,1,user_1
71,pw.x,8,2176,8,18337,2020-11-17T15:47:11,2020-11-17T20:52:48,275.115,30403300,pw,0.003676471,1,user_1
72,pw.x,8,2176,8,13113,2020-11-17T15:22:37,2020-11-17T19:01:10,276.502,30601700,pw,0.003676471,1,user_1
73,pw.x,4,1088,4,4784,2020-11-15T13:59:31,2020-11-15T15:19:15,280.182,34086200,pw,0.003676471,1,user_1
74,pw.x,8,2176,8,11089,2020-11-17T15:47:11,2020-11-17T18:52:00,273.114,28161400,pw,0.003676471,1,user_1
75,pw.x,14,3808,14,19921,2020-11-11T22:15:38,2020-11-12T03:47:39,212.968,19987300,pw,0.003676471,1,user_1
76,pw.x,1,272,1,1191,2020-11-24T13:28:27,2020-11-24T13:48:18,229.942,11082500,pw,0.003676471,1,user_1
77,pw.x,1,272,1,1180,2020-11-25T02:15:06,2020-11-25T02:34:46,234.969,11427000,pw,0.003676471,1,user_1
78,pw.x,1,272,1,1111,2020-11-24T22:35:26,2020-11-24T22:53:57,232.602,11689700,pw,0.003676471,1,user_1
79,pw.x,1,272,1,670,2020-11-24T20:37:32,2020-11-24T20:48:42,247.894,11256300,pw,0.003676471,1,user_1
80,pw.x,1,272,1,1350,2020-11-26T14:33:58,2020-11-26T14:56:28,262.429,13187700,pw,0.003676471,1,user_1
81,pw.x,1,272,1,1210,2020-11-24T12:39:44,2020-11-24T12:59:54,236.434,11209700,pw,0.003676471,1,user_1
82,pw.x,1,272,1,667,2020-11-24T13:28:27,2020-11-24T13:39:34,223.524,10563400,pw,0.003676471,1,user_1
83,pw.x,1,272,1,611,2020-11-24T16:52:19,2020-11-24T17:02:30,224.146,13830400,pw,0.003676471,1,user_1
84,pw.x,1,272,1,748,2020-11-24T16:52:19,2020-11-24T17:04:47,217.946,13672700,pw,0.003676471,1,user_1
85,pw.x,2,544,2,1176,2020-11-25T09:23:23,2020-11-25T09:42:59,269.86,18714900,pw,0.003676471,1,user_1
86,pw2bgw.x,2,544,2,1173,2020-11-25T09:23:23,2020-11-25T09:42:56,275.688,18959200,bgw,0.003676471,1,user_1
87,pw.x,2,544,2,1225,2020-11-25T11:23:17,2020-11-25T11:43:42,274.202,18910500,pw,0.003676471,1,user_1
88,pw2bgw.x,2,544,2,1214,2020-11-25T11:23:20,2020-11-25T11:43:34,274.511,18633500,bgw,0.003676471,1,user_1
89,pw2bgw.x,2,544,2,1303,2020-11-25T11:43:34,2020-11-25T12:05:17,265.82,18707200,bgw,0.003676471,1,user_1
90,pw.x,2,544,2,1337,2020-11-25T12:07:49,2020-11-25T12:30:06,264.866,18759800,pw,0.003676471,1,user_1
91,pw.x,1,272,1,3364,2020-12-01T04:08:45,2020-12-01T05:04:49,250.573,15254100,pw,0.003676471,1,user_1
92,pw.x,1,272,1,4830,2020-12-01T13:44:26,2020-12-01T15:04:56,271.469,13866600,pw,0.003676471,1,user_1
93,pw.x,2,544,2,953,2020-12-01T15:52:14,2020-12-01T16:08:07,249.032,15432900,pw,0.003676471,1,user_1
94,pw.x,2,544,2,963,2020-12-01T16:23:05,2020-12-01T16:39:08,220.076,15874200,pw,0.003676471,1,user_1
95,pw.x,2,544,2,942,2020-12-01T20:57:40,2020-12-01T21:13:22,244.07,15156400,pw,0.003676471,1,user_1
96,qlua,5,1360,5,2320,2020-11-06T07:46:32,2020-11-06T08:25:12,250.76,24868300,qlua,0.003676471,1,user_1
97,qlua,5,1360,5,601,2020-12-02T15:11:11,2020-12-02T15:21:12,239.405,18158900,qlua,0.003676471,1,user_1
98,e3sm.exe,5,1360,5,3624,2020-11-05T05:24:06,2020-11-05T06:24:30,270.074,25586600,e3sm,0.003676471,1,user_1
99,e3sm_io,2,544,2,4184,2020-11-11T04:15:30,2020-11-11T05:25:14,272.027,17732500,e3sm,0.003676471,1,user_1
100,e3sm.exe,1,272,1,647,2020-11-28T05:32:30,2020-11-28T05:43:17,242.395,13159900,e3sm,0.003676471,1,user_1
101,wrf.exe,1,272,1,2377,2020-11-05T05:11:12,2020-11-05T05:50:49,282.718,19306500,wrf,0.003676471,1,user_1
102,gene_cori,1,272,1,1964,2020-11-03T18:16:18,2020-11-03T18:49:02,279.969,17422900,gene,0.003676471,1,user_1
103,gene_cori,1,272,1,697,2020-11-24T13:28:20,2020-11-24T13:39:57,229.628,11476600,gene,0.003676471,1,user_1
104,global_fcst_cmip5,1,272,1,1024,2020-11-03T08:05:08,2020-11-03T08:22:12,271.509,18941000,cmip5,0.003676471,1,user_1
105,vasp_ncl,1,272,1,155059,2020-11-01T01:05:48,2020-11-02T20:10:07,244.98,4251190,vasp,0.003676471,1,user_2
106,vasp_std,1,272,1,171058,2020-11-01T01:48:07,2020-11-03T00:19:05,254.842,8040140,vasp,0.003676471,1,user_2
107,vasp_std,1,272,1,150405,2020-11-11T15:45:31,2020-11-13T09:32:16,176.498,3152560,vasp,0.003676471,1,user_2
108,vasp_std,1,272,1,100983,2020-11-14T12:20:16,2020-11-15T16:23:19,164.958,3621920,vasp,0.003676471,1,user_2
109,sm_chroma,1,272,1,164275,2020-11-11T13:07:45,2020-11-13T10:45:40,244.735,10466400,chroma,0.003676471,1,user_2
110,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,1,272,1,86017,2020-11-01T05:58:39,2020-11-02T05:52:16,166.059,7738390,su3,0.003676471,1,user_2
111,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,4,1088,4,1588,2020-11-08T17:31:34,2020-11-08T17:58:02,167.943,8237320,su3,0.003676471,1,user_2
112,pw.x,1,272,1,153862,2020-11-01T19:31:04,2020-11-03T14:15:26,177.246,8054240,pw,0.003676471,1,user_2
113,pw.x,1,272,1,163527,2020-11-05T08:01:30,2020-11-07T05:26:57,265.356,9000250,pw,0.003676471,1,user_2
114,pw.x,1,272,1,67079,2020-11-05T20:06:15,2020-11-06T14:44:14,169.585,8644120,pw,0.003676471,1,user_2
115,pw.x,4,1088,4,1551,2020-11-08T19:10:15,2020-11-08T19:36:06,165.471,6834320,pw,0.003676471,1,user_2
116,pw.x,4,1088,4,1580,2020-11-08T19:10:43,2020-11-08T19:37:03,168.43,10049100,pw,0.003676471,1,user_2
117,pw.x,1,272,1,164025,2020-11-13T22:31:42,2020-11-15T20:05:27,238.187,3710750,pw,0.003676471,1,user_2
118,e3sm.exe,1,272,1,1340,2020-11-03T15:38:49,2020-11-03T16:01:09,236.675,4963380,e3sm,0.003676471,1,user_2
119,vasp_std_fixed_c,2,544,2,10447,2020-11-02T12:47:40,2020-11-02T15:41:47,197.049,10385300,vasp,0.003676471,1,user_3
120,vasp_std,1,272,1,22325,2020-11-11T12:54:24,2020-11-11T19:06:29,143.702,29099000,vasp,0.003676471,1,user_3
121,vasp_std,2,544,2,7458,2020-11-15T10:34:46,2020-11-15T12:39:04,120.275,3339280,vasp,0.003676471,1,user_3
122,vasp_std,2,544,2,31657,2020-11-15T10:33:59,2020-11-15T19:21:36,202.622,8481410,vasp,0.003676471,1,user_3
123,vasp_std,1,272,1,26734,2020-11-16T12:55:35,2020-11-16T20:21:09,154.092,28981400,vasp,0.003676471,1,user_3
124,vasp_std,1,272,1,23521,2020-11-20T13:39:28,2020-11-20T20:11:29,148.646,27554500,vasp,0.003676471,1,user_3
125,vasp_std,1,272,1,25820,2020-11-20T13:39:28,2020-11-20T20:49:48,149.367,27412200,vasp,0.003676471,1,user_3
126,vasp_std,1,272,1,27485,2020-11-23T15:40:29,2020-11-23T23:18:34,154.299,18901700,vasp,0.003676471,1,user_3
127,vasp_std_knl,1,272,1,27069,2020-11-25T03:21:51,2020-11-25T10:53:00,148.559,27710400,vasp,0.003676471,1,user_3
128,vasp_std,1,272,1,36267,2020-11-27T18:13:24,2020-11-28T04:17:51,148.4,31888500,vasp,0.003676471,1,user_3
129,vasp_std,1,272,1,28026,2020-11-28T14:14:45,2020-11-28T22:01:51,149.546,27955800,vasp,0.003676471,1,user_3
130,vasp_std,1,272,1,33529,2020-11-29T12:32:01,2020-11-29T21:50:50,150.717,32208100,vasp,0.003676471,1,user_3
131,vasp_std,1,272,1,5232,2020-11-29T15:16:04,2020-11-29T16:43:16,146.503,19616300,vasp,0.003676471,1,user_3
132,vasp_std,1,272,1,25080,2020-12-01T13:44:26,2020-12-01T20:42:26,141.431,27876700,vasp,0.003676471,1,user_3
133,vasp_std,1,272,1,37218,2020-12-21T13:17:45,2020-12-21T23:38:03,148.607,29126400,vasp,0.003676471,1,user_3
134,vasp_std,1,272,1,38645,2020-12-29T21:23:23,2020-12-30T08:07:28,151.906,32490300,vasp,0.003676471,1,user_3
135,sm_chroma,1,272,1,23872,2020-12-19T15:05:41,2020-12-19T21:43:33,153.441,27750800,chroma,0.003676471,1,user_3
136,pw.x,1,272,1,6509,2020-11-02T17:56:02,2020-11-02T19:44:31,142.65,23205200,pw,0.003676471,1,user_3
137,pw.x,1,272,1,21379,2020-11-09T15:31:02,2020-11-09T21:27:21,151.079,30098100,pw,0.003676471,1,user_3
138,pw.x,1,272,1,27306,2020-11-09T15:31:02,2020-11-09T23:06:08,147.18,34621300,pw,0.003676471,1,user_3
139,pw.x,1,272,1,24410,2020-11-10T20:01:49,2020-11-11T02:48:39,151.464,32085600,pw,0.003676471,1,user_3
140,pw.x,1,272,1,23844,2020-11-27T16:56:42,2020-11-27T23:34:06,153.737,27725700,pw,0.003676471,1,user_3
141,pw.x,1,272,1,24515,2020-11-30T17:08:48,2020-11-30T23:57:23,147.645,19571400,pw,0.003676471,1,user_3
142,pw.x,1,272,1,23843,2020-12-03T22:30:24,2020-12-04T05:07:47,152.107,19327400,pw,0.003676471,1,user_3
143,pw.x,1,272,1,21796,2020-12-06T02:48:13,2020-12-06T08:51:29,146.6,27799500,pw,0.003676471,1,user_3
144,pw.x,1,272,1,25526,2020-12-06T15:23:20,2020-12-06T22:28:46,146.361,27948400,pw,0.003676471,1,user_3
145,pw.x,1,272,1,34451,2020-12-22T01:25:06,2020-12-22T10:59:17,151.095,29074300,pw,0.003676471,1,user_3
146,pw.x,1,272,1,23519,2020-12-30T11:59:25,2020-12-30T18:31:24,156.084,19398000,pw,0.003676471,1,user_3
147,pw.x,1,272,1,18751,2020-12-30T12:38:22,2020-12-30T17:50:53,154.424,18876900,pw,0.003676471,1,user_3
148,e3sm.exe,4,1088,4,5796,2020-11-15T09:55:01,2020-11-15T11:31:37,134.834,6101670,e3sm,0.003676471,1,user_3
149,e3sm.exe,1,272,1,24881,2020-12-14T09:49:38,2020-12-14T16:44:19,155.169,19091500,e3sm,0.003676471,1,user_3
150,global_fcst_cmip5,1,272,1,24764,2020-11-29T21:33:22,2020-11-30T04:26:06,141.871,25984100,cmip5,0.003676471,1,user_3
151,vasp_std,1,272,1,107804,2020-11-01T02:21:27,2020-11-02T08:18:11,147.091,29175400,vasp,0.003676471,1,user_4
152,vasp_ncl,2,544,2,170675,2020-11-01T04:09:16,2020-11-03T03:33:51,223.054,14816400,vasp,0.003676471,1,user_5
153,vasp_std,4,1088,4,136561,2020-11-01T08:46:09,2020-11-02T22:42:10,200.021,77724200,vasp,0.003676471,1,user_6
154,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,4,1088,4,135499,2020-11-02T01:47:30,2020-11-03T15:25:49,195.148,77671200,su3,0.003676471,1,user_6
155,pw.x,4,1088,4,135426,2020-11-01T06:21:53,2020-11-02T19:58:59,202.373,77663500,pw,0.003676471,1,user_6
156,pw.x,4,1088,4,136617,2020-11-01T07:26:07,2020-11-02T21:23:04,200.736,78959200,pw,0.003676471,1,user_6
157,pw.x,4,1088,4,135881,2020-11-01T07:26:07,2020-11-02T21:10:48,203.369,80092800,pw,0.003676471,1,user_6
158,pw.x,4,1088,4,136013,2020-11-01T10:07:19,2020-11-02T23:54:12,198.887,65151200,pw,0.003676471,1,user_6
159,pw2bgw.x,4,1088,4,136598,2020-11-01T10:07:19,2020-11-03T00:03:57,201.117,80439100,bgw,0.003676471,1,user_6
160,pw.x,4,1088,4,136167,2020-11-01T10:43:36,2020-11-03T00:33:03,202.886,77690000,pw,0.003676471,1,user_6
161,pw2bgw.x,4,1088,4,136310,2020-11-01T10:47:04,2020-11-03T00:38:54,206.686,77595900,bgw,0.003676471,1,user_6
162,pw.x,4,1088,4,136462,2020-11-01T19:31:01,2020-11-03T09:25:23,199.499,76728600,pw,0.003676471,1,user_6
163,pw.x,4,1088,4,134799,2020-11-01T19:36:26,2020-11-03T09:03:05,197.841,79011000,pw,0.003676471,1,user_6
164,pw2bgw.x,4,1088,4,135214,2020-11-01T19:36:26,2020-11-03T09:10:00,192.075,80172100,bgw,0.003676471,1,user_6
165,pw.x,4,1088,4,137229,2020-11-01T20:34:53,2020-11-03T10:42:02,204.057,79259700,pw,0.003676471,1,user_6
166,pw.x,4,1088,4,134823,2020-11-01T20:48:45,2020-11-03T10:15:48,201.937,75918700,pw,0.003676471,1,user_6
167,pw2bgw.x,4,1088,4,134177,2020-11-01T21:19:05,2020-11-03T10:35:22,200.98,77787200,bgw,0.003676471,1,user_6
168,qlua,4,1088,4,136646,2020-11-02T07:25:09,2020-11-03T21:22:35,203.61,77262200,qlua,0.003676471,1,user_6
169,vasp_std,1,272,1,20732,2020-11-12T12:18:10,2020-11-12T18:03:42,181.708,24554500,vasp,0.003676471,1,user_7
170,vasp_std,19,5168,19,29077,2020-11-13T14:07:33,2020-11-13T22:12:10,170.004,14779600,vasp,0.003676471,1,user_7
171,vasp_std,1,272,1,13762,2020-11-23T15:30:09,2020-11-23T19:19:31,189.667,17641500,vasp,0.003676471,1,user_7
172,vasp_std,21,5712,21,22896,2020-11-29T12:32:01,2020-11-29T18:53:37,154.171,20389000,vasp,0.003676471,1,user_7
173,su3_rhmc_hisq.knl_dbl_qopqdp_20190610,19,5168,19,21905,2020-11-23T15:40:28,2020-11-23T21:45:33,156.818,12246400,su3,0.003676471,1,user_7
174,pw.x,1,272,1,19986,2020-11-11T04:31:01,2020-11-11T10:04:07,188.744,29802200,pw,0.003676471,1,user_7
175,pw.x,1,272,1,24875,2020-11-12T03:04:36,2020-11-12T09:59:11,188.082,23406600,pw,0.003676471,1,user_7
176,pw.x,1,272,1,17517,2020-11-12T04:27:13,2020-11-12T09:19:10,172.035,19707000,pw,0.003676471,1,user_7
177,pw2bgw.x,20,5440,20,28084,2020-11-27T10:13:47,2020-11-27T18:01:51,153.014,11381800,bgw,0.003676471,1,user_7
178,pw.x,23,6256,23,25637,2020-12-01T20:49:48,2020-12-02T03:57:05,155.629,20478300,pw,0.003676471,1,user_7
179,pw.x,20,5440,20,26433,2020-12-02T02:55:23,2020-12-02T10:15:56,155.105,11560500,pw,0.003676471,1,user_7
180,pw2bgw.x,20,5440,20,20480,2020-12-02T16:00:04,2020-12-02T21:41:24,154.993,12268100,bgw,0.003676471,1,user_7
181,pw.x,23,6256,23,26612,2020-12-05T09:00:15,2020-12-05T16:23:47,154.692,19163100,pw,0.003676471,1,user_7
182,pw2bgw.x,24,6528,24,27448,2020-12-05T09:00:15,2020-12-05T16:37:43,155.569,23365500,bgw,0.003676471,1,user_7
183,e3sm.exe,1,272,1,12034,2020-12-02T20:51:58,2020-12-03T00:12:32,185.721,22051000,e3sm,0.003676471,1,user_7
184,vasp_std,1,272,1,4485,2020-11-02T03:04:30,2020-11-02T04:19:15,293.225,67733900,vasp,0.003676471,1,user_8
185,vasp_std,1,272,1,2888,2020-11-08T18:58:48,2020-11-08T19:46:56,283.304,37294400,vasp,0.003676471,1,user_8
186,vasp_std,1,272,1,2202,2020-11-08T19:04:19,2020-11-08T19:41:01,277.851,30513900,vasp,0.003676471,1,user_8
187,vasp_std,1,272,1,1994,2020-11-09T08:24:10,2020-11-09T08:57:24,283.945,31946100,vasp,0.003676471,1,user_8
188,vasp_std,1,272,1,1442,2020-11-09T11:10:24,2020-11-09T11:34:26,283.706,38664600,vasp,0.003676471,1,user_8
189,vasp_std,1,272,1,2149,2020-11-09T11:12:15,2020-11-09T11:48:04,288.653,32776900,vasp,0.003676471,1,user_8
190,vasp_gam,1,272,1,2423,2020-11-14T06:25:56,2020-11-14T07:06:19,286.183,36823300,vasp,0.003676471,1,user_8
191,vasp_std,1,272,1,7039,2020-11-14T13:13:43,2020-11-14T15:11:02,219.619,32597400,vasp,0.003676471,1,user_8
192,vasp_std,1,272,1,4652,2020-11-14T16:38:23,2020-11-14T17:55:55,228.151,31797500,vasp,0.003676471,1,user_8
193,vasp_std,1,272,1,3538,2020-11-15T11:45:14,2020-11-15T12:44:12,128.611,4533470,vasp,0.003676471,1,user_8
194,vasp_std,1,272,1,8007,2020-11-15T22:15:28,2020-11-16T00:28:55,303.605,68625000,vasp,0.003676471,1,user_8
195,vasp_std,1,272,1,10469,2020-11-17T02:34:39,2020-11-17T05:29:08,288.514,68847700,vasp,0.003676471,1,user_8
196,vasp_std,1,272,1,6657,2020-11-17T07:37:00,2020-11-17T09:27:57,236.761,25630800,vasp,0.003676471,1,user_8
197,vasp_std,1,272,1,1480,2020-11-17T07:39:10,2020-11-17T08:03:50,229.107,25961300,vasp,0.003676471,1,user_8
198,vasp_std,1,272,1,5114,2020-11-17T10:26:13,2020-11-17T11:51:27,289.025,38358000,vasp,0.003676471,1,user_8
199,vasp_std,1,272,1,6280,2020-11-17T10:48:28,2020-11-17T12:33:08,283.99,42224200,vasp,0.003676471,1,user_8
200,vasp_std,1,272,1,4701,2020-11-17T10:59:30,2020-11-17T12:17:51,293.855,42067700,vasp,0.003676471,1,user_8
201,vasp_std,1,272,1,5875,2020-11-17T14:11:33,2020-11-17T15:49:28,241.214,32366700,vasp,0.003676471,1,user_8
202,vasp_std,1,272,1,2167,2020-11-17T16:56:42,2020-11-17T17:32:49,282.065,37732100,vasp,0.003676471,1,user_8
